"ref_date","united states, adp employment change","united states, business confidence","united states, chicago fed national activity index","united states, chicago pmi","united states, consumer confidence","united states, continuing jobless claims","united states, corporate 10y t bill spread","united states, gdp growth rate","united states, industrial production mom","united states, initial jobless claims","united states, interbank rate","united states, manufacturing payrolls","united states, manufacturing pmi","united states, mortgage applications","united states, nfib business optimism index","united states, non farm payrolls","united states, non manufacturing pmi","united states, ny empire state manufacturing index","united states, philadelphia fed manufacturing index","united states, redbook index sa","united states, richmond fed manufacturing index","united states, services pmi","united states, t bill spread 10y 3m"
2002-12-31,-32.6739297388343,-0.282218912397866,-0.830176082693844,-0.335236881661061,-6.64263074713784,-0.00327288148043081,1.01137705721188,-2.03134553650276,-0.657431820817323,0.0549459858581155,-0.0303084970599173,-44.1788467231275,NA,NA,-2.58309055570776,-222.811818754944,-2.94362897261851,-7.45841517238355,0.0882951190594783,NA,-6.4719457156343,NA,1.36520792458481
2003-01-31,-63.8462074327913,-0.572295235840372,0.68023674692673,-0.0163811687323161,-10.7429674052784,-0.0232663238314631,0.889553230740835,NA,0.646478737820724,-0.0472634458804294,-0.0253412189291734,-9.74221463379018,NA,NA,-2.02700175568161,31.4222112161055,-1.95596054817495,-2.3598776467383,-1.4752537643072,NA,1.55594974167111,NA,1.3934946857347
2003-02-28,-140.674855256903,-3.0623949771259,-0.589355684487019,-0.797665519573691,-13.0513508980563,0.0029923599713379,0.739334782086681,NA,-0.0496385678697243,0.0401135312978316,-0.0145321403292834,-48.3096824504429,NA,NA,-4.76995004755713,-209.352169619662,-2.66252797037545,-14.5380543147346,-8.43875601043093,NA,-14.4142852375568,NA,1.24175784629284
2003-03-31,-57.1652402676661,-5.55259684640297,-0.298992898251213,-4.97919658469616,-15.1686690983032,0.0260797169396347,0.721494458224266,-0.413671725436131,-0.34579751679473,0.0396294429980777,-0.0416908148342837,-22.8831781817614,NA,NA,-5.6120005890886,-282.147960002135,-6.162453404891,-5.09348477799228,-10.6027879121424,NA,-13.3820051520094,NA,1.1712830296594
2003-04-30,-23.3227295215781,-5.7429795538201,-0.918714415681975,-6.96108101461068,-6.59580987885049,0.0210412491454467,0.468752788676515,NA,-0.842011887860359,0.0211014376391282,0.0131365643755343,-74.4646298364216,NA,NA,-1.25321853803024,-121.978158671203,-5.16895469663324,-26.6267086381311,-13.1679257622723,NA,-12.3465645003782,NA,1.31232829031226
2003-05-31,-59.1526900751362,-2.83362180952584,0.0814402419045723,-3.84342545982824,-0.333661112529612,0.0204822331070794,0.378771286823671,NA,-0.138295459972673,-0.027766796624356,-0.0139732620070877,-14.055965423099,NA,NA,-1.09366905213631,-44.8557643667536,-2.49410365671985,3.06173450322923,-7.03474585365133,NA,-18.3073177813548,NA,0.978535141375906
2003-06-30,-22.6604889848374,-2.82460232366872,0.211431553192307,0.87366342914018,-2.5831106721721,-0.00872209813774131,0.421517230457006,0.90422164412318,0.0653379879622621,-0.00449451247548122,-0.136232054426302,-25.6591129504696,NA,NA,1.46658271083891,-62.7937758286768,-1.03530340013102,11.9713050444689,-2.60382447911018,NA,-0.263619493630674,NA,0.887580183694131
2003-07-31,2.14850669282102,-0.815999806397265,0.231219996865106,0.490079001783606,-1.22405941615447,-0.027337034916836,0.202152702562597,NA,0.268874677038384,-0.0236672325284046,-0.0141561341734093,-52.2760004272091,NA,NA,0.227471593141161,-60.8051917968609,1.91004295815305,5.70146338396804,1.52426206852044,NA,-11.2148241358972,NA,1.53690192287263
2003-08-31,-6.731070098658,1.39210703214,-0.0692339483931519,6.10571460759106,-2.63699078349036,-0.00962070730915558,0.124108184394916,NA,-0.227699171650372,-0.0268014711939386,0.0191316826512786,13.0914441380068,NA,NA,3.88893243701621,-96.903011011195,3.64453230315219,1.45166992010699,14.2489374964099,NA,-9.160286206846,NA,1.95108172165994
2003-09-30,-10.1721421361821,0.59963948179454,0.670030196101409,0.22046359605158,-4.02366651796667,-0.00994950102172494,0.0696020359963185,4.42229404613013,0.47560266298993,-0.0106702768697303,0.00175290862113009,10.4412927365022,NA,NA,1.35090008470978,52.8997677884323,2.07076151988619,5.92138505126594,15.0696255117274,NA,-9.09936020516847,NA,1.78678508052295
2003-10-31,67.9308038540621,3.40651883241782,0.458972909032668,0.634219316654146,-1.88584836337051,-0.0296080622528069,-0.00717768562114474,NA,-0.0212335979467731,-0.033495853161881,0.00808060017868098,26.7716173596015,NA,NA,3.51778179077171,150.590145862132,3.09132749337485,21.9100691758251,22.2857498216423,NA,1.96859937044386,NA,1.80836450848088
2003-11-30,12.5400548916595,6.61266637386133,0.957554669084502,8.04687511888782,2.47470193651115,-0.037227463272755,-0.0948279162304182,NA,0.681778266633454,-0.0497045827042139,0.00529872968506425,22.0804899986288,NA,NA,4.59359580541577,-26.8448755299842,1.808827108638,18.7171826921647,21.1967341333239,NA,2.04490443242848,NA,1.79870316538205
2003-12-31,-1.38210200380536,8.31800339597651,0.235735954940787,7.7583243522416,1.65622263789132,-0.0354317265735141,-0.126974451633302,2.14050495453968,-0.215375522175452,-0.0117946481268188,-0.00928920313947514,24.3659826449083,NA,NA,6.57769346438347,69.5817048721943,1.02585725069543,11.7517974113599,20.9020021539415,NA,13.1296795828616,NA,1.79457309996371
2004-01-31,25.1266201872523,9.02245118861485,0.423477245285403,11.0684603662045,13.1569519969829,-0.0424600311814135,-0.166998498887012,NA,0.187291256720445,0.00685163761232699,-0.0439854092685237,30.6261672897643,NA,NA,5.46942610341635,138.856888328779,5.34501480456699,16.521603704586,30.6009775906644,NA,6.22178935750988,NA,1.68118791940463
2004-02-29,8.02850848441722,8.12593104162782,0.830739018802226,10.0771765102656,4.07512826999906,-0.0151456457297033,-0.280248835490015,NA,0.489764824415081,0.00297457575942382,-0.0133980675560334,29.8591159245211,NA,NA,2.66814505825603,15.9676760998806,2.06889665527243,20.7239898103739,22.5930841506619,NA,13.3200982921399,NA,1.5598510767103
2004-03-31,176.285849907274,8.82836424486689,0.877481754175134,2.88436613391389,5.8089897131526,-0.0267316811053663,-0.176226355067724,-0.341186156693212,-0.607968597997608,-0.0519235605932043,-0.0198939156421998,49.0629005405028,NA,NA,3.07320166464399,278.901069445611,2.3000996878316,16.0563439672543,24.2777455411033,NA,27.4234709225184,NA,1.28206527135546
2004-04-30,58.8609314754075,8.82967208818351,0.593665930088005,9.98992258663837,4.55677458265664,-0.0195642728867232,-0.355355574533021,NA,0.394077210576314,0.0195365773914609,0.0247388019568733,69.2355931290337,NA,NA,5.0839472583218,232.644069626081,3.54122078726431,22.2160544137578,26.954385469158,NA,12.530771784412,NA,1.78670702274017
